0	13
1	32	32.00
2	44	22.00
3	53	17.67
4	65	16.25
5	58	11.60
6	74	12.33
7	83	11.86
8	95	11.88
9	104	11.56
10	96	9.60
11	109	9.91
12	121	10.08
13	130	10.00
14	142	10.14
15	131	8.73
16	147	9.19
17	156	9.18
18	168	9.33
19	177	9.32
20	169	8.45
21	182	8.67
22	194	8.82
23	203	8.83
24	215	8.96
25	204	8.16
26	220	8.46
27	229	8.48
28	241	8.61
29	250	8.62
30	242	8.07
31	255	8.23
32	267	8.34
33	276	8.36
34	288	8.47
35	277	7.91
36	293	8.14
37	302	8.16
38	314	8.26
39	323	8.28
40	315	7.88
41	328	8.00
42	340	8.10
43	349	8.12
44	361	8.20
45	350	7.78
46	366	7.96
47	375	7.98
48	387	8.06
49	396	8.08
50	388	7.76
51	401	7.86
52	413	7.94
53	422	7.96
54	434	8.04
55	423	7.69
56	439	7.84
57	448	7.86
58	460	7.93
59	469	7.95
60	461	7.68
61	474	7.77
62	486	7.84
63	495	7.86
64	507	7.92
Average CPE	9.51

